yo,en
Ara à mií dá ṣáká bíi ara ọmọ tuntun ní àárọ̀ yìí.,My body is as healthy as a new baby this morning.
Ìgbákejì Ààrẹ di adelé nígbà tí ààrẹ ti lọ fún ìpàdé ńlá.,The Vice President is in charge while the President is away for a big meeting.
Ààrẹ orílẹ̀-èdè Nàìjíríà wà ní òkè òkun.,The president of Nigeria is overseas.
Eléyìí ni ó jẹ́ ìkẹrìnléláàdọ́rín ìpàdé àpérò irú u rẹ̀,This is the seventy-fourth conference meeting of its kind
Ọjọ́ ọ Àìkú ni aṣojú orílẹ̀-èdè Nàìjíríà fún ilẹ̀ Amẹ́ríkà á padà sí ìlú-ọba.,"On Sunday, the Nigerian ambassador to the United States will return to the capital."
Mínísítà fún ọ̀rọ̀ òkèèrè àti Mínísítà fún ètò ìlera àti àwọn mìíràn ti pàdé.,The Minister for Foreign Affairs and the Minister for Health and others have met.
Ààrẹ orílẹ̀-èdè e Nàìjíríà jẹ́ ìkarùn-ún nínú àwọn ti yóò sọ̀rọ̀.,The president of the country of Nigeria is the fifth of those who will speak.
Ṣé ọjọ́ Ìṣẹ́gun ni ìpàdé náà yóò bẹ̀rẹ̀?,Will the meeting begin on Victory Day?
Olórí i ìlú náà yóò máa sọ̀rọ̀ lórí ìṣèjọba àti ìpinnu mẹ́ta.,The head of the city will talk about governance and three decisions.
Ọ̀pọ̀ ọmọ Nàìjíríà ni wọ́n fìbò dá padà sórí àlééfà.,Many Nigerians voted back on the left.
Yóò ṣàlàyé àwọn ipò tí orílẹ̀-èdè Nàìjíríà wà.,It will explain the situation in Nigeria.
Ọ́ ṣe pẹ̀kínrẹ̀kí pẹ̀lúu Orílẹ̀-èdè e Nàìjíríà.,He did a lot with the Republic of Nigeria.
Ìkópa Ààrẹ nínú ìpéjọ àwọn olórí orílẹ̀-èdè àgbáyé ọdún yìí ṣe pàtàkì.,The participation of the President in this year's meeting of world leaders is important.
Ṣe o rantí i ákórí ìpàdé e Àpérò Àjọ Ìṣòkan Àgbáyé ẹlẹ́ẹ̀kẹrìnléláàdọ́rin?,Do you remember the theme of the 74th United Nations Conference?
Àrùn ibà ọlọ́jẹ̀ àkọ́kọ́ ṣẹlẹ̀ ní orílẹ̀-èdè kan nílẹ̀ adúláwọ̀.,The first epidemic of dengue fever occurred in a developing country.
Àwọn aṣojú ìjọba wípé ó ṣe é ṣe kí ààrùn náà ó tàn kíá.,The representatives of the government said that he did it so that the disease spread quickly.
Ní ọjọ́ Àìkú ni ìkéde náà jáde tí ó sì ń bà wọ́n lẹ́rù gidi.,The announcement came out on Sunday and it really scared them.
Ó tó àádọ́ta-ọ̀kẹ́ kan àwọn ènìyàn tó ń gbé ìlú tó súnmọ́ bèbè adágúndò.,There are about 50 million people who live in the city near the river bank.
Wọ́n filé e wọn sílẹ̀ ní bí ọdún kan sẹ́yìn.,They left their home about a year ago.
Àrùn ibà ọlọ́jẹ̀ náà tí ń ṣe wérewère tàn ká dé gúúsù.,The maddening dengue spread to the south.
Ó ti ran àwọn ènìyàn ẹ̀ẹ́dẹ́gbẹ́ẹ̀ta tí ó sì pa àwọn ẹgbẹ̀jọ.,He has saved five hundred people and killed eight.
Àwọn òṣìṣẹ́ ilé-ìwòsàn náà sọpé àlùfáà ni ẹni tí ó lu gúdẹ àrùn náà.,The hospital staff said the priest was the one who contracted the disease.
Níbo ni ó ti ṣàgbákò àwọn ènìyàn tó ní àrùn ibà ọlọ́jẹ̀ yìí?,Where did he meet the people with this deadly disease?
Àwọn àmì àrùn náà bẹ̀rẹ̀ sí ní máa jẹyọ lọ́sẹ̀ tó kọjá.,The symptoms started appearing last week.
Nígbà tí ó dé ibi tó lọ lọ́jọ́ Àìkú ni ó lọ sílé ìwòsàn.,"When he arrived at his destination on Sunday, he went to the hospital."
Ibẹ̀ ní àyẹ̀wò ó ti fi hàn pé ó ní àrùn ibà náà.,There in the examination it has been shown that he has the disease of malaria.
"Iléeṣẹ́ ètò ìlera sọ pé látàrí àrùn náà, ewu pọ̀ níbẹ̀","The health department says that because of the disease, there is a lot of risk there"
Wọ́n tún sọ̀rọ̀ nípa bí ó ti ṣe wà ní ìyàsọ́tọ̀ọ̀tọ̀.,They also talked about how he was isolated.
Wọ́n ní gbogbo ibùdókọ̀ ni àwọn yẹ̀wò fún ìṣèdánimọ̀ àwọn èro ọkọ̀ láti ìlú kejì.,They have every station checked for the identity of the passengers from the other city.
Ìlú ńlá yìí ti ń gbaradì fún àrùn,This big city is getting sick
Wọ́n ṣì ṣèto ibi tí àwọn ènìyàn náà yóò ti máa fi omi fọwọ́.,They also set up the place where the people will use water to wash their hands.
Wọ́n sì tún ṣe àrídájú pé àwọn awakẹ̀kẹ́-alùpùpù kò yá ara wọn ní akoto.,And they also made sure that the motorcyclists did not let each other down.
"Àmọ́ ní àwọn ìgbèríko, àrùn ọlọ́jẹ̀ náà ti ṣòro láti kápá.","But in rural areas, the blood disease has been difficult to cover."
Àìfọkàntán àwọn òṣìṣẹ́ elétò ìlera àti ìjà ìgboro ti dí àwọn akitiyan ìkápá lọ́wọ́.,Distrust of health workers and street fighting have hampered outreach efforts.
Kíni ó fa bí àwọn tí ó lùgbàdì àrùn náà ti pọ̀ sí i?,What is the cause of the increase in the number of people with the disease?
"Àrùn tí à ń wí máa ń fa àrùn ìgbẹ́ gbuuru, èébì, àti àrùn ibà ẹlẹ́jẹ̀.","The disease that we are talking about causes diarrhea, vomiting, and hemorrhagic fever."
Àjàkálẹ̀ kan ní àárín ọdún mẹ́sàn-án àti mẹ́fà sẹ́yìn pa ọ̀pọ̀ ènìyàn,An epidemic between nine and six years ago killed many people.
Wọ́n lé ní ẹgbẹ̀rún mọ́kànlá ní Ìwọ̀-oòrùn Ilẹ̀-Adúláwọ̀.,They are over eleven thousand in the West of the Republic.
Àjọ Elétò Ìlera Àgbáyé ti gba àwọn ìjọba orílẹ̀-èdè kí wọ́n má ṣe sinmi.,The World Health Organization has urged national governments not to rest.
Ìṣẹ̀lẹ̀ àrùn ibà ọlọ́jẹ̀ àkọ́kọ́ jẹ́ ìṣípòpadà tí ó ṣe kókó nínú u ìpele àjàkálẹ̀ náà.,The first outbreak of dengue fever was a critical turning point in the epidemic phase.
Olóyè Àjọ Elétò Ìlera Àgbáyé sọ pé òun nírètí.,The head of the World Health Organization said he was hopeful.
Ó ń kó àwọn ìgbìmọ̀ pàjáwìrì àjọ Elétò Ìlera Àgbáyé jọ.,It convenes the World Health Organization's emergency committee.
Èyí jẹ́ láti ṣe ìpinnu bóyá àjàkálẹ̀ náà jẹ́ ètò ìlera pàjáwìrì àgbáyé.,This is to determine whether the outbreak is a global health emergency.
Ibi Ìwòsàn àrùn yìí ní ìlú náà ti ń ṣiṣẹ́ láti oṣù Èrèlé.,This hospital in the city has been working since the month of Erele.
