yo,en
Mo pàdé alàgbà ìnàkí yìí nílé ìtura Japaní kan nínú ilé-ìwẹ̀ onísun,I met this old man in a Japanese hotel in a sauna
"Ilé ìtura náà ti gbó, tàbí ká ní ó ti ń di àlàpà.","The hotel is old, or should we say it is getting dirty."
"Kò fẹ́ẹ̀ lè dá dúró, mo kàn ní kí n sun run alẹ́ kan níbẹ̀ ni.","He didn't want to stop, I just asked him to spend a night there."
"Mo ń rìnrìn àjò káàkiri ni, lọ síbikíbi tí ẹ̀mí bá daríì mi sí.","I travel around, go wherever the spirit leads me."
"Ìgbà ẹ̀ẹ̀rùn ti fẹ́ parí, oòrùn ti wọ̀ tipẹ́","Summer is about to end, the sun has already set"
Ìjì olótùútù tó jánilárajẹ kan fẹ́ sísàlẹ̀ láti orí òkè wá,A painful cold storm is about to come down from the mountain
"Ó ń darí àwọn ìràwé tó dàbíi ẹ̀ṣẹ́ ọwọ́ sílẹ̀, sójú ọ̀nà.","He directs the sins of the hands down, to the way."
Mo rìn kọjá láàárin gbùngbùn ìlú onísun gbígbóná,I walked through the center of the hot city
Kò sí ìkankan nínú u àwọn ilé ìtura níbẹ̀ tó fẹ́ gbàlejò lẹ́yìn oúnjẹ alẹ́,None of the hotels there wanted to stay after dinner
Mo yà ní ibi márùún tàbí mẹ́fà ṣùgbọ́n gbogbo wọn ló já mi kulẹ̀,I tried five or six places but they all failed me
"Mo ṣàbápàdé e ilé ìtura kan tó gbà mí, tí kò sì ní gbowó oúnjẹ alẹ́",I met him at a hotel that accepted me and would not pay for dinner
"Ilẹ́ ìtura náà dàbí ibi tí a kọ̀ sílẹ̀, ibi jákujàku kan.","The park looks like an abandoned, abandoned place."
Ilé náà ti fojúrí ọ̀pọ̀lọpọ̀ ọdún sẹ́yìn lọ.,The building has been neglected for many years.
Kò ní irú ọ̀yàyà tí èèyàn máa ń retí lọ́wọ́ ibùgbé àtijọ́ bíi tiẹ̀,It doesn't have the kind of warmth one would expect from an old home like that
"Àwọn nǹkan ọ̀ṣọ́ ara ilé ò farajọra, wọ́n sì tún wọ́ sẹ́gbẹ̀ẹ́","The household items are not the same, and they are also worn side by side"
Kò dá mi lójú pé ó le yèbọ́ lọ́wọ́ ọ ìmìtìtì tó bá tún ṣẹ̀lẹ̀,I am not sure that he can survive the earthquake if it happens again
"Wọn kò fún wa lóńjẹ alẹ́, ṣùgbọ́n oúnjẹ àárọ̀ wà níbẹ̀.","They didn't give us dinner, but there was breakfast."
"Lẹ́nu ọ̀nà ni tàbìlì ìgbàlejò kan, tí ọkùnrin arúgbó apárí kan wà lẹ́yìn ẹ.","On the way is a reception desk, with an elderly man behind it."
Àìnírun ìpéǹpéjú yìí jẹ́ kójú u arúgbókùnrin yìí dàbí èyí tó mọ́lẹ́ ní gbàgede lọ́nà àràmọ̀ndà.,This lack of eyelid hair made this old man's face look like the one that shines in the street in a magical way.
"Ológbó ńlá dúdú kan, tóun náà darúgbó, wà níjokòó lóríi fùkùfùkù kan lẹ́gbẹ̀ẹ́.","A big black old man, who was also old, was sitting on a stump nearby."
"Ó ní láti jẹ́ pé nǹkankan ṣeé nímú, torí pé ó ń hanrun pẹ̀lú ariwo ju ti ológbò lọ.","It must be something that can be caught, because it purrs louder than a cat."
"Lẹ́ẹ̀kọ̀ọ̀kan, ìmísókè-mísódò ẹ̀ á dákẹ́ iṣẹ́ díẹ̀.","Once in a while, your upgrade will slow down the process a bit."
"Gbogbo nǹkan tó wà nínú ilé ìtura yìí dàbíi oun tó ti dàgbá, dògbó,","Everything in this hotel looks like it has been washed, washed,"
"Yàrá tí wọ́n fi mí sí kéré, ó dàbíi yàrá ẹrù tí wọ́n máa ń kó aṣọ ìbora ibùsùn sí.","The room they put me in was small, it was like a storage room where they used to store bed sheets."
Igi ìtẹ́lẹ̀ abẹ́ ẹní ń dún bíi pó fẹ́ wó pẹ̀lú ìgbésẹ́ kọ̀ọ̀kan.,The wood beneath one's feet sounded like it was about to crumble with each step.
Ṣùgbọ́n ó ti pẹ́ jù báyìí láti kọbiara sí èyí.,But it is too late now to ignore this.
Mo sọ fúnra à mi pé ó yẹ kínú ù mi dùn pé mo tilẹ̀ rí òrùlé sórí mi àti ibùsùn láti sùn lé.,I told myself that I should be happy that I even found a roof over me and a bed to sleep on.
"Mo gbé àpò èjìká mi, ẹrù kan ṣoṣo tí mo ní, sílẹ̀.","I put down my shoulder bag, the only thing I had."
Mo lọ sínú u ìṣọ àmàlà kan nítòsí mo sì jẹun alẹ́ kékeré.,I went into a nearby restaurant and had a small dinner.
"Kò sí irú oúnjẹ alẹ́ mìíràn ní ṣíṣí, nítorí náà, èyí nìkan ni tàbí kí n pebi sùn.","There was no other kind of dinner open, so this was the only one or I had to sleep."
